CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI2293,patient,TL,1,1409,1087,68152.7173913044,52577.7173913044,0,0,48.3695652173913,1,0
CI2293,patient,TL,2,1026,695,49627.1739130435,33616.847826087,0,0,48.3695652173913,1,0
CI2293,patient,TL,3,945,807,45709.2391304348,39034.2391304348,0,0,48.3695652173913,1,0
CI2293,patient,TL,4,1450,1189,70135.8695652174,57511.4130434783,0,0,48.3695652173913,1,0
CI2293,patient,TL,5,843,1254,40775.5434782609,60655.4347826087,0,0,48.3695652173913,1,0
CI2293,patient,TL,6,1050,1075,50788.0434782609,51997.2826086957,0,0,48.3695652173913,1,0
CI2293,patient,TL,7,1136,772,54947.8260869565,37341.3043478261,0,0,48.3695652173913,1,0
CI2293,patient,TL,8,802,1512,38792.3913043478,73134.7826086956,0,0,48.3695652173913,1,0
CI2293,patient,TL,9,1563,1172,75601.6304347826,56689.1304347826,0,0,48.3695652173913,1,0
CI2293,patient,TL,10,1308,558,63267.3913043478,26990.2173913043,0,0,48.3695652173913,1,0
CI2293,patient,TL,11,1467,946,70958.152173913,45757.6086956522,0,0,48.3695652173913,1,0
CI2293,patient,TL,12,1257,1250,60800.5434782609,60461.9565217391,0,0,48.3695652173913,1,0
CI2293,patient,TL,13,723,1461,34971.1956521739,70667.9347826087,0,0,48.3695652173913,1,0
CI2293,patient,TL,14,1351,805,65347.2826086957,38937.5,0,0,48.3695652173913,1,0
CI2293,patient,TL,15,591,1688,28586.4130434783,81647.8260869565,0,0,48.3695652173913,1,0
CI2293,patient,TL,16,1312,1319,63460.8695652174,63799.4565217391,0,0,48.3695652173913,1,0
CI2293,patient,TL,17,1239,423,59929.8913043478,20460.3260869565,0,0,48.3695652173913,1,0
CI2293,patient,TL,18,1759,1487,85082.0652173913,71925.5434782609,0,0,48.3695652173913,1,0
CI2293,patient,TL,19,1377,1873,66604.8913043478,90596.1956521739,0,0,48.3695652173913,1,0
CI2293,patient,TL,20,1600,1696,77391.3043478261,82034.7826086956,0,0,48.3695652173913,1,0
CI2293,patient,TL,21,1573,1300,76085.3260869565,62880.4347826087,0,0,48.3695652173913,1,0
CI2293,patient,TL,22,800,1179,38695.652173913,57027.7173913044,0,0,48.3695652173913,1,0
CI2293,patient,TL,23,898,719,43435.8695652174,34777.7173913044,0,0,48.3695652173913,1,0
CI2293,patient,TL,24,496,1275,23991.3043478261,61671.1956521739,0,0,48.3695652173913,1,0
CI2293,patient,TL,25,989,1090,47837.5,52722.8260869565,0,0,48.3695652173913,1,0
CI2293,patient,TL,26,1211,489,58575.5434782609,23652.7173913043,NaN,NaN,48.3695652173913,1,0
CI2293,patient,TL,27,970,874,46918.4782608696,42275,0,0,48.3695652173913,1,0
CI2293,patient,TL,28,808,1566,39082.6086956522,75746.7391304348,0,0,48.3695652173913,1,0
CI2293,patient,TL,29,910,1681,44016.3043478261,81309.2391304348,0,0,48.3695652173913,1,0
CI2293,patient,TL,30,887,1656,42903.8043478261,80100,0,0,48.3695652173913,1,0
CI2293,patient,TL,31,1000,1057,48369.5652173913,51126.6304347826,0,0,48.3695652173913,1,0
CI2293,patient,TL,32,1507,1318,72892.9347826087,63751.0869565217,0,0,48.3695652173913,1,0
CI2293,patient,TL,33,1513,1303,73183.152173913,63025.5434782609,0,0,48.3695652173913,1,0
CI2293,patient,TL,34,1131,804,54705.9782608696,38889.1304347826,0,0,48.3695652173913,1,0
CI2293,patient,TL,35,1092,849,52819.5652173913,41065.7608695652,0,0,48.3695652173913,1,0
CI2293,patient,TL,36,1303,882,63025.5434782609,42661.9565217391,0,0,48.3695652173913,1,0
CI2293,patient,TL,37,1289,882,62348.3695652174,42661.9565217391,0,0,48.3695652173913,1,0
CI2293,patient,TL,38,924,720,44693.4782608696,34826.0869565217,0,0,48.3695652173913,1,0
CI2293,patient,TL,39,534,760,25829.347826087,36760.8695652174,0,0,48.3695652173913,1,0
CI2293,patient,TL,40,504,767,24378.2608695652,37099.4565217391,0,0,48.3695652173913,1,0
CI2293,patient,TL,41,470,777,22733.6956521739,37583.152173913,0,0,48.3695652173913,1,0
CI2293,patient,TL,42,436,789,21089.1304347826,38163.5869565217,0,0,48.3695652173913,1,0
CI2293,patient,TL,43,807,1555,39034.2391304348,75214.6739130435,0,0,48.3695652173913,1,0
CI2293,patient,TL,44,809,1523,39130.9782608696,73666.847826087,0,0,48.3695652173913,1,0
CI2293,patient,TL,1,1409,1086,68152.7173913044,52529.347826087,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,2,1026,694,49627.1739130435,33568.4782608696,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,3,945,806,45709.2391304348,38985.8695652174,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,4,1450,1188,70135.8695652174,57463.0434782609,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,5,843,1253,40775.5434782609,60607.0652173913,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,6,1050,1074,50788.0434782609,51948.9130434783,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,7,1136,771,54947.8260869565,37292.9347826087,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,8,802,1511,38792.3913043478,73086.4130434783,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,9,1563,1171,75601.6304347826,56640.7608695652,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,10,1308,557,63267.3913043478,26941.847826087,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,11,1467,945,70958.152173913,45709.2391304348,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,12,1257,1249,60800.5434782609,60413.5869565217,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,13,723,1460,34971.1956521739,70619.5652173913,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,14,1351,804,65347.2826086957,38889.1304347826,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,15,591,1687,28586.4130434783,81599.4565217391,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,16,1312,1318,63460.8695652174,63751.0869565217,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,17,1239,422,59929.8913043478,20411.9565217391,0,0,48.3695652173913,2,0.166666666666667
CI2293,patient,TL,18,1759,1486,85082.0652173913,71877.1739130435,0,0,48.3695652173913,2,0.166666666666667
