CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Timepoint
CI1380,patient,EP,1,3314.59177679883,694.060205580029,NaN,NaN,62.5294264046551,NaN,NaN,1,48
CI1380,patient,EP,2,3136.33039647577,571.881057268723,NaN,NaN,64.5382738445668,NaN,NaN,1,48
CI1380,patient,EP,3,3176.33333333333,2574.41262848752,NaN,NaN,69.8737918180549,NaN,NaN,1,48
CI1380,patient,EP,4,1620.93612334802,1285.11380323054,NaN,NaN,64.4833175768407,NaN,NaN,1,48
CI1380,patient,EP,1,1485,1690,NaN,NaN,52,NaN,NaN,2,48
CI1380,patient,EP,2,1497,2066,NaN,NaN,62,NaN,NaN,2,48
CI1380,patient,EP,3,1537,1888,NaN,NaN,44,NaN,NaN,2,48
CI1380,patient,EP,4,1581,1738,NaN,NaN,62,NaN,NaN,2,48
CI1380,patient,EP,5,1588,1208,NaN,NaN,65,NaN,NaN,2,48
CI1380,patient,EP,6,1581,2011,NaN,NaN,58,NaN,NaN,2,48
CI1380,patient,EP,7,1602,1433,NaN,NaN,52,NaN,NaN,2,48
CI1380,patient,EP,8,1672,2262,NaN,NaN,61,NaN,NaN,2,48
CI1380,patient,EP,9,1678,2571,NaN,NaN,56,NaN,NaN,2,48
CI1380,patient,EP,10,1648,1463,NaN,NaN,43,NaN,NaN,2,48
CI1380,patient,EP,11,1696,1387,NaN,NaN,60,NaN,NaN,2,48
CI1380,patient,EP,12,1689,1233,NaN,NaN,47,NaN,NaN,2,48
CI1380,patient,EP,13,1689,2132,NaN,NaN,35,NaN,NaN,2,48
CI1380,patient,EP,14,1733,1876,NaN,NaN,30,NaN,NaN,2,48
CI1380,patient,EP,15,1745,2270,NaN,NaN,54,NaN,NaN,2,48
CI1380,patient,EP,16,1742,1593,NaN,NaN,24,NaN,NaN,2,48
CI1380,patient,EP,17,1756,2520,NaN,NaN,46,NaN,NaN,2,48
CI1380,patient,EP,18,1746,1206,NaN,NaN,28,NaN,NaN,2,48
CI1380,patient,EP,19,1784,2105,NaN,NaN,47,NaN,NaN,2,48
CI1380,patient,EP,20,1798,1959,NaN,NaN,48,NaN,NaN,2,48
CI1380,patient,EP,21,1797,1614,NaN,NaN,36,NaN,NaN,2,48
CI1380,patient,EP,22,1799,2692,NaN,NaN,27,NaN,NaN,2,48
CI1380,patient,EP,23,1818,2540,NaN,NaN,44,NaN,NaN,2,48
CI1380,patient,EP,24,1822,2274,NaN,NaN,37,NaN,NaN,2,48
CI1380,patient,EP,25,1870,1104,NaN,NaN,52,NaN,NaN,2,48
CI1380,patient,EP,26,1860,2469,NaN,NaN,53,NaN,NaN,2,48
CI1380,patient,EP,27,1860,1752,NaN,NaN,40,NaN,NaN,2,48
CI1380,patient,EP,28,1874,2028,NaN,NaN,34,NaN,NaN,2,48
CI1380,patient,EP,29,1888,2765,NaN,NaN,48,NaN,NaN,2,48
CI1380,patient,EP,30,1906,2596,NaN,NaN,53,NaN,NaN,2,48
CI1380,patient,EP,31,1908,1736,NaN,NaN,46,NaN,NaN,2,48
CI1380,patient,EP,32,1938,1274,NaN,NaN,51,NaN,NaN,2,48
CI1380,patient,EP,33,1937,2817,NaN,NaN,45,NaN,NaN,2,48
CI1380,patient,EP,34,1925,2303,NaN,NaN,37,NaN,NaN,2,48
CI1380,patient,EP,35,1930,2020,NaN,NaN,40,NaN,NaN,2,48
CI1380,patient,EP,36,1942,1987,NaN,NaN,26,NaN,NaN,2,48
CI1380,patient,EP,37,1917,1661,NaN,NaN,21,NaN,NaN,2,48
CI1380,patient,EP,38,1984,2640,NaN,NaN,51,NaN,NaN,2,48
CI1380,patient,EP,39,2023,1548,NaN,NaN,46,NaN,NaN,2,48
CI1380,patient,EP,40,1987,1535,NaN,NaN,42,NaN,NaN,2,48
CI1380,patient,EP,41,1982,1574,NaN,NaN,36,NaN,NaN,2,48
CI1380,patient,EP,42,2042,1575,NaN,NaN,24,NaN,NaN,2,48
CI1380,patient,EP,43,1990,2168,NaN,NaN,45,NaN,NaN,2,48
CI1380,patient,EP,44,2002,1471,NaN,NaN,49,NaN,NaN,2,48
CI1380,patient,EP,45,2000,1632,NaN,NaN,46,NaN,NaN,2,48
CI1380,patient,EP,46,2021,2288,NaN,NaN,48,NaN,NaN,2,48
CI1380,patient,EP,47,2000,2325,NaN,NaN,45,NaN,NaN,2,48
CI1380,patient,EP,48,1997,992,NaN,NaN,30,NaN,NaN,2,48
CI1380,patient,EP,49,2025,899,NaN,NaN,46,NaN,NaN,2,48
CI1380,patient,EP,50,2040,1033,NaN,NaN,53,NaN,NaN,2,48
CI1380,patient,EP,51,2016,1068,NaN,NaN,33,NaN,NaN,2,48
CI1380,patient,EP,52,2028,1685,NaN,NaN,43,NaN,NaN,2,48
CI1380,patient,EP,53,2032,1875,NaN,NaN,39,NaN,NaN,2,48
CI1380,patient,EP,54,2044,1138,NaN,NaN,46,NaN,NaN,2,48
CI1380,patient,EP,55,2049,1944,NaN,NaN,39,NaN,NaN,2,48
CI1380,patient,EP,56,2085,1098,NaN,NaN,43,NaN,NaN,2,48
CI1380,patient,EP,57,2094,1126,NaN,NaN,27,NaN,NaN,2,48
CI1380,patient,EP,58,2079,717,NaN,NaN,55,NaN,NaN,2,48
CI1380,patient,EP,59,2078,1009,NaN,NaN,45,NaN,NaN,2,48
CI1380,patient,EP,60,2087,1822,NaN,NaN,42,NaN,NaN,2,48
CI1380,patient,EP,61,2104,2548,NaN,NaN,36,NaN,NaN,2,48
CI1380,patient,EP,62,2122,2219,NaN,NaN,35,NaN,NaN,2,48
CI1380,patient,EP,63,2137,2151,NaN,NaN,45,NaN,NaN,2,48
CI1380,patient,EP,64,2142,2744,NaN,NaN,46,NaN,NaN,2,48
CI1380,patient,EP,65,2141,2273,NaN,NaN,40,NaN,NaN,2,48
CI1380,patient,EP,66,2175,1355,NaN,NaN,44,NaN,NaN,2,48
