CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Timepoint
CI1799,patient,EP,1,2709.4449339207,378.493392070485,NaN,NaN,80.7885455095739,NaN,NaN,1,.5
CI1799,patient,EP,2,3463.23348017621,1306.54625550661,NaN,NaN,51.3438953685053,NaN,NaN,1,.5
CI1799,patient,EP,3,4368.51982378855,1716.23788546256,NaN,NaN,82.3801471913525,NaN,NaN,1,.5
CI1799,patient,EP,4,3875.12775330396,1938.70484581498,NaN,NaN,84.3782441988151,NaN,NaN,1,.5
CI1799,patient,EP,5,1642.62114537445,2045.92511013216,NaN,NaN,26.5631101352932,NaN,NaN,1,.5
CI1799,patient,EP,1,4160.97797356828,1420.56828193833,NaN,NaN,79.6893304058798,NaN,NaN,2,.5
CI1799,patient,EP,2,3645.55947136564,1966.82378854626,NaN,NaN,88.5437004509783,NaN,NaN,2,.5
CI1799,patient,EP,3,2539.83259911894,1200.30396475771,NaN,NaN,79.6893304058802,NaN,NaN,2,.5
CI1799,patient,EP,4,2967.14537444934,2200.30396475771,NaN,NaN,93.0762349526211,NaN,NaN,2,.5
CI1799,patient,EP,5,3211.25550660793,2602.36123348018,NaN,NaN,78.6059136918371,NaN,NaN,2,.5
CI1799,patient,EP,6,3145.17621145374,2675.04845814978,NaN,NaN,71.6944307771734,NaN,NaN,2,.5
CI1799,patient,EP,1,2896.07929515419,1609.30837004405,NaN,NaN,69.9648722358475,NaN,NaN,3,.5
CI1799,patient,EP,2,1218.44052863436,1097.36563876652,NaN,NaN,65.0897455518483,NaN,NaN,3,.5
CI1799,patient,EP,3,1452.51982378855,1458,NaN,NaN,59.1112226782434,NaN,NaN,3,.5
CI1799,patient,EP,1,3188.16519823789,504.817180616739,NaN,NaN,91.8021086275742,NaN,NaN,4,.5
CI1799,patient,EP,2,1953.61674008811,2511.29955947137,NaN,NaN,87.0995267687215,NaN,NaN,4,.5
