CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI1140,exponential,TL,1,3140,1602,95232.1725081444,48586.6052095692,0,0,30.3287173592817,1,0
CI1140,exponential,TL,2,3143,1750,95323.1586602223,53075.2553787429,0,0,30.3287173592817,1,0
CI1140,exponential,TL,3,2813,1526,85314.6819316593,46281.6226902638,0,0,30.3287173592817,1,0
CI1140,exponential,TL,4,2090,1247,63387.0192808987,37819.9105470242,0,0,30.3287173592817,1,0
CI1140,exponential,TL,5,3270,1719,99174.905764851,52135.0651406052,0,0,30.3287173592817,1,0
CI1140,exponential,TL,6,2684,1600,81402.277392312,48525.9477748507,0,0,30.3287173592817,1,0
CI1140,exponential,TL,7,3500,1502,106150.510757486,45553.7334736411,0,0,30.3287173592817,1,0
CI1140,exponential,TL,8,2823,1862,85617.9691052521,56472.0717229825,0,0,30.3287173592817,1,0
CI1140,exponential,TL,9,2623,1327,79552.2256333958,40246.2079357668,0,0,30.3287173592817,1,0
CI1140,exponential,TL,10,2597,648,78763.6789820545,19653.0088488145,0,0,30.3287173592817,1,0
CI1140,exponential,TL,11,3109,1346,94291.9822700067,40822.4535655931,0,0,30.3287173592817,1,0
CI1140,exponential,TL,12,2327,2226,70574.9252950484,67511.724841761,0,0,30.3287173592817,1,0
CI1140,exponential,TL,13,3638,1450,110335.873753067,43976.6401709584,0,0,30.3287173592817,1,0
CI1140,exponential,TL,14,2483,1950,75306.2052030964,59140.9988505992,0,0,30.3287173592817,1,0
CI1140,exponential,TL,15,3757,1536,113944.991118821,46584.9098638566,0,0,30.3287173592817,1,0
CI1140,exponential,TL,16,1939,1311,58807.3829596471,39760.9484580183,0,0,30.3287173592817,1,0
CI1140,exponential,TL,17,2947,2634,89378.7300578031,79885.8415243479,0,0,30.3287173592817,1,0
CI1140,exponential,TL,18,2705,1871,82039.1804568569,56745.030179216,0,0,30.3287173592817,1,0
CI1140,exponential,TL,19,2634,1713,79885.8415243479,51953.0928364495,0,0,30.3287173592817,1,0
CI1140,exponential,TL,20,1841,1376,55835.1686584375,41732.3150863716,0,0,30.3287173592817,1,0
CI1140,exponential,TL,21,1764,1048,53499.8574217729,31784.4957925272,0,0,30.3287173592817,1,0
CI1140,exponential,TL,22,2242,603,67996.9843195095,18288.2165676468,0,0,30.3287173592817,1,0
CI1140,exponential,TL,23,2240,477,67936.3268847909,14466.7981803774,0,0,30.3287173592817,1,0
CI1140,exponential,TL,24,2424,515,73516.8108788987,15619.2894400301,0,0,30.3287173592817,1,0
CI1140,exponential,TL,25,3173,587,96233.0201810007,17802.9570898983,0,0,30.3287173592817,1,0
CI1140,exponential,TL,26,3608,782,109426.012232288,23717.0569749583,0,0,30.3287173592817,1,0
CI1140,exponential,TL,27,3680,759,111609.679882157,23019.4964756948,0,0,30.3287173592817,1,0
CI1140,exponential,TL,28,3144,1192,95353.4873775816,36151.8310922637,0,0,30.3287173592817,1,0
CI1140,exponential,TL,29,3172,1236,96202.6914636414,37486.2946560721,0,0,30.3287173592817,1,0
CI1140,exponential,TL,30,4011,1265,121648.485328079,38365.8274594913,0,0,30.3287173592817,1,0
CI1140,exponential,TL,31,3868,2030,117311.478745701,61567.2962393418,0,0,30.3287173592817,1,0
CI1140,exponential,TL,32,3278,1855,99417.5355037253,56259.7707014675,0,0,30.3287173592817,1,0
CI1140,exponential,TL,33,3219,1894,97628.1411795277,57442.5906784795,0,0,30.3287173592817,1,0
CI1140,exponential,TL,34,3586,2535,108758.780450384,76883.298505779,0,0,30.3287173592817,1,0
CI1140,exponential,TL,35,3702,2515,112276.911664061,76276.7241585934,0,0,30.3287173592817,1,0
