CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI5055,patient,TL,1,454,1095,23024.4698327545,55532.5869314234,0,0,50.7146912615738,1,0
CI5055,patient,TL,2,539,1684,27335.2185899883,85403.5400844903,0,0,50.7146912615738,1,0
CI5055,patient,TL,3,570,1311,28907.3740190971,66486.9602439233,0,0,50.7146912615738,1,0
CI5055,patient,TL,4,583,750,29566.6650054975,38036.0184461804,0,0,50.7146912615738,1,0
CI5055,patient,TL,5,608,1169,30834.5322870369,59285.4740847798,0,0,50.7146912615738,1,0
CI5055,patient,TL,6,618,495,31341.6791996526,25103.7721744791,0,0,50.7146912615738,1,0
CI5055,patient,TL,7,654,852,33167.4080850693,43208.9169548609,0,0,50.7146912615738,1,0
CI5055,patient,TL,8,676,1190,34283.1312928239,60350.4826012729,0,0,50.7146912615738,1,0
CI5055,patient,TL,9,683,1235,34638.1341316549,62632.6437080437,0,0,50.7146912615738,1,0
CI5055,patient,TL,10,698,608,35398.8545005785,30834.5322870369,0,0,50.7146912615738,1,0
CI5055,patient,TL,11,722,1158,36616.0070908563,58727.6124809025,0,0,50.7146912615738,1,0
CI5055,patient,TL,12,732,693,37123.1540034721,35145.2810442707,0,0,50.7146912615738,1,0
CI5055,patient,TL,13,755,776,38289.5919024882,39354.6004189813,0,0,50.7146912615738,1,0
CI5055,patient,TL,14,781,869,39608.1738752892,44071.0667063077,0,0,50.7146912615738,1,0
CI5055,patient,TL,15,790,630,40064.6060966433,31950.2554947915,0,0,50.7146912615738,1,0
CI5055,patient,TL,16,834,1383,42296.0525121526,70138.4180147566,0,0,50.7146912615738,1,0
CI5055,patient,TL,17,831,933,42143.9084383679,47316.8069470484,0,0,50.7146912615738,1,0
CI5055,patient,TL,18,831,1081,42143.9084383679,54822.5812537613,0,0,50.7146912615738,1,0
CI5055,patient,TL,19,853,839,43259.6316461225,42549.6259684605,0,0,50.7146912615738,1,0
CI5055,patient,TL,20,867,1359,43969.6373237845,68921.2654244788,0,0,50.7146912615738,1,0
CI5055,patient,TL,21,872,1169,44223.2107800924,59285.4740847798,0,0,50.7146912615738,1,0
CI5055,patient,TL,22,888,1782,45034.6458402776,90373.5798281246,0,0,50.7146912615738,1,0
CI5055,patient,TL,23,887,1736,44983.931149016,88040.7040300922,0,0,50.7146912615738,1,0
CI5055,patient,TL,24,945,1200,47925.3832421873,60857.6295138886,0,0,50.7146912615738,1,0
CI5055,patient,TL,25,956,985,48483.2448460646,49953.9708926502,0,0,50.7146912615738,1,0
CI5055,patient,TL,26,948,1001,48077.527315972,50765.4059528354,0,0,50.7146912615738,1,0
CI5055,patient,TL,27,951,1305,48229.6713897567,66182.6720963539,0,0,50.7146912615738,1,0
CI5055,patient,TL,28,987,1308,50055.4002751734,66334.8161701386,0,0,50.7146912615738,1,0
CI5055,patient,TL,29,1035,1195,52489.7054557289,60604.0560575807,0,0,50.7146912615738,1,0
CI5055,patient,TL,30,1055,1341,53503.9992809604,68008.4009817705,0,0,50.7146912615738,1,0
CI5055,patient,TL,31,1056,957,53554.713972222,48533.9595373262,0,0,50.7146912615738,1,0
CI5055,patient,TL,32,1093,1850,55431.1575489002,93822.1788339116,0,0,50.7146912615738,1,0
CI5055,patient,TL,33,1113,425,56445.4513741317,21553.7437861689,0,0,50.7146912615738,1,0
CI5055,patient,TL,34,1139,1047,57764.0333469326,53098.2817508678,0,0,50.7146912615738,1,0
CI5055,patient,TL,35,1153,1449,58474.0390245946,73485.5876380205,0,0,50.7146912615738,1,0
CI5055,patient,TL,36,1150,1145,58321.8949508099,58068.321494502,0,0,50.7146912615738,1,0
CI5055,patient,TL,37,1158,1309,58727.6124809025,66385.5308614002,0,0,50.7146912615738,1,0
CI5055,patient,TL,38,1168,955,59234.7593935182,48432.530154803,0,0,50.7146912615738,1,0
CI5055,patient,TL,39,1202,886,60959.0588964118,44933.2164577544,0,0,50.7146912615738,1,0
