CI Identifier	Growth-rate	Radius	Appearance_time	Growth-delay	Imaging_method	Category	DAP	GEN	RIF	Other_ABX
CI1140	NA	NA	NA	NA	TL	Other	D-	G+	R-	ABX+
CI1140	47.34701785	354.5493156	20.8607499	10.64474884	TL	Other	D-	G+	R-	ABX+
CI1140	51.86720241	642.6206346	15.03985983	4.823858774	TL	Other	D-	G+	R-	ABX+
CI1140	64.85315633	886.3732891	12.74848933	2.532488273	TL	Other	D-	G+	R-	ABX+
CI1140	86.26018854	1019.329282	12.47678345	2.2607824	TL	Other	D-	G+	R-	ABX+
CI1140	60.60111832	642.6206346	16.51155232	6.295551262	TL	Other	D-	G+	R-	ABX+
CI1140	64.36793878	930.6919535	11.75586735	1.539866292	TL	Other	D-	G+	R-	ABX+
CI1140	62.1078465	975.010618	10.54951219	0.333511135	TL	Other	D-	G+	R-	ABX+
CI1140	70.04370724	952.8512858	12.61586497	2.399863915	TL	Other	D-	G+	R-	ABX+
CI1140	63.07189716	908.5326213	12.37937253	2.163371478	TL	Other	D-	G+	R-	ABX+
CI1140	54.8998121	819.8952924	11.48365948	1.267658431	TL	Other	D-	G+	R-	ABX+
CI1140	63.53796139	930.6919535	11.36309163	1.147090577	TL	Other	D-	G+	R-	ABX+
CI1140	63.68480354	864.2139569	12.93590522	2.719904167	TL	Other	D-	G+	R-	ABX+
CI1140	64.40624543	1019.329282	10.70501136	0.489010304	TL	Other	D-	G+	R-	ABX+
CI1140	67.33670406	952.8512858	11.91664182	1.700640763	TL	Other	D-	G+	R-	ABX+
CI1140	54.14644801	664.7799668	14.94247784	4.726476788	TL	Other	D-	G+	R-	ABX+
CI1140	65.98320247	952.8512858	12.20593336	1.989932303	TL	Other	D-	G+	R-	ABX+
CI1140	67.23455299	243.7526545	22.88440363	12.66840257	TL	Other	D-	G+	R-	ABX+
CI1140	47.46832224	753.4172957	13.71923173	3.503230676	TL	Other	D-	G+	R-	ABX+
CI1140	47.55131998	443.1866445	18.71146454	8.495463488	TL	Other	D-	G+	R-	ABX+
CI1140	65.83636032	864.2139569	13.62722924	3.411228185	TL	Other	D-	G+	R-	ABX+
CI1140	64.52116538	997.1699502	11.50370947	1.287708417	TL	Other	D-	G+	R-	ABX+
CI1140	70.36931375	1063.647947	11.51610306	1.300102005	TL	Other	D-	G+	R-	ABX+
CI1140	68.2369103	1019.329282	11.5972107	1.381209641	TL	Other	D-	G+	R-	ABX+
CI1140	64.94253851	997.1699502	11.4486487	1.232647646	TL	Other	D-	G+	R-	ABX+
CI1140	64.69992974	864.2139569	13.07343148	2.857430422	TL	Other	D-	G+	R-	ABX+
CI1140	65.65121151	952.8512858	12.26945651	2.053455451	TL	Other	D-	G+	R-	ABX+
CI1140	69.30949647	1085.807279	11.34650466	1.130503605	TL	Other	D-	G+	R-	ABX+
CI1140	64.75100527	975.010618	11.49018812	1.274187066	TL	Other	D-	G+	R-	ABX+
CI1140	68.2369103	1107.966611	10.44133495	0.225333893	TL	Other	D-	G+	R-	ABX+
CI1140	68.01345485	1085.807279	11.02107274	0.805071687	TL	Other	D-	G+	R-	ABX+
CI1140	70.03732279	1063.647947	11.79060965	1.574608601	TL	Other	D-	G+	R-	ABX+
CI1140	64.01041006	975.010618	11.49486215	1.278861096	TL	Other	D-	G+	R-	ABX+
CI1140	64.42539875	886.3732891	12.94874851	2.732747459	TL	Other	D-	G+	R-	ABX+
CI1140	67.02386643	1019.329282	11.63504044	1.41903939	TL	Other	D-	G+	R-	ABX+
CI1140	72.31018395	1107.966611	11.28368249	1.067681439	TL	Other	D-	G+	R-	ABX+
CI1140	69.6223341	1107.966611	11.15465272	0.938651666	TL	Other	D-	G+	R-	ABX+
CI1140	71.89519526	1107.966611	11.23347434	1.017473289	TL	Other	D-	G+	R-	ABX+
CI1140	68.03899262	1063.647947	11.03856507	0.822564012	TL	Other	D-	G+	R-	ABX+
CI1140	74.87672942	908.5326213	14.24736993	4.031368879	TL	Other	D-	G+	R-	ABX+
CI1140	68.97750551	975.010618	12.17107749	1.95507644	TL	Other	D-	G+	R-	ABX+
CI1140	71.16098449	775.576628	15.69435863	5.478357572	TL	Other	D-	G+	R-	ABX+
CI1140	67.26009076	1041.488615	11.4510509	1.235049847	TL	Other	D-	G+	R-	ABX+
CI1140	68.87535445	952.8512858	12.56221307	2.346212014	TL	Other	D-	G+	R-	ABX+
CI1140	64.92338519	930.6919535	11.92685166	1.710850611	TL	Other	D-	G+	R-	ABX+
CI1140	58.34741049	886.3732891	11.19471363	0.978712581	TL	Other	D-	G+	R-	ABX+
CI1140	NA	NA	NA	NA	TL	Other	D-	G+	R-	ABX+
CI1140	NA	NA	NA	NA	TL	Other	D-	G+	R-	ABX+
CI1140	64.95530739	1041.488615	10.62983958	0.413838529	TL	Other	D-	G+	R-	ABX+
CI1140	71.35890218	1196.60394	9.889787472	-0.326213582	TL	Other	D-	G+	R-	ABX+
CI1140	71.25036667	1174.444608	10.66254372	0.446542666	TL	Other	D-	G+	R-	ABX+
CI1140	55.78086502	686.939299	15.32549173	5.109490676	TL	Other	D-	G+	R-	ABX+
CI1140	67.53462174	930.6919535	13.01514035	2.799139292	TL	Other	D-	G+	R-	ABX+
