CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Timepoint
CI1378,patient,EP,1,3187.24743024963,512.019823788546,NaN,NaN,69.0352030202836,NaN,NaN,1,48
CI1378,patient,EP,2,2309.82525697504,1044.44933920705,NaN,NaN,75.2079060750535,NaN,NaN,1,48
CI1378,patient,EP,3,2273.38619676946,1352.35095447871,NaN,NaN,81.7393379813388,NaN,NaN,1,48
CI1378,patient,EP,4,1806.84581497797,1709.11013215859,NaN,NaN,73.8213410382109,NaN,NaN,1,48
CI1378,patient,EP,5,1830.88105726872,1835.29515418502,NaN,NaN,80.7418712371172,NaN,NaN,1,48
CI1378,patient,EP,6,2067.22760646109,1947.45961820852,NaN,NaN,60.0503843561981,NaN,NaN,1,48
CI1378,patient,EP,7,2319.59765051395,2063.62995594714,NaN,NaN,72.4921159118167,NaN,NaN,1,48
CI1378,patient,EP,8,1981.18942731278,2388.2422907489,NaN,NaN,72.9101019777492,NaN,NaN,1,48
CI1378,patient,EP,9,2273.61820851689,2436.3127753304,NaN,NaN,84.5654848127809,NaN,NaN,1,48
CI1378,patient,EP,10,1963.16299559471,2618.58002936858,NaN,NaN,80.9173155224119,NaN,NaN,1,48
CI1378,patient,EP,11,2572.05580029369,2818.87371512482,NaN,NaN,80.5157382767559,NaN,NaN,1,48
CI1378,patient,EP,12,3124.08370044053,1573.08663729809,NaN,NaN,85.7076702806011,NaN,NaN,1,48
CI1378,patient,EP,13,3088.03083700441,2163.953010279,NaN,NaN,84.6373229835837,NaN,NaN,1,48
CI1378,patient,EP,14,3559.0778267254,2258.33039647577,NaN,NaN,81.4165017225113,NaN,NaN,1,48
CI1378,patient,EP,15,4057.80910425844,2246.3127753304,NaN,NaN,76.4899513629181,NaN,NaN,1,48
CI1378,patient,EP,16,2863.41556534508,3175.53303964758,NaN,NaN,88.7729375092655,NaN,NaN,1,48
CI1378,patient,EP,1,2001.22173274596,2686.67400881057,NaN,NaN,74.721468233392,NaN,NaN,2,48
CI1378,patient,EP,1,1488.35242290749,2284.1953010279,NaN,NaN,81.5860787559667,NaN,NaN,3,48
CI1378,patient,EP,2,3960.46328928047,1779.24449339207,NaN,NaN,78.5608875965799,NaN,NaN,3,48
