CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Timepoint
CI1794,patient,EP,1,3235.008811,427.4801762,81975.08031,10832.34199,56.91128696,1442.131256,25.33998672,1,0.5
CI1794,patient,EP,2,3495.198238,1420.044053,88568.27695,35983.89745,56.91128696,1442.131256,25.33998672,1,0.5
CI1794,patient,EP,3,3248.502203,1781.277533,82317.00269,45137.54904,62.96104646,1595.432081,25.33998672,1,0.5
CI1794,patient,EP,4,4353.156388,1752.411894,110308.9251,44406.09414,51.10475157,1294.993726,25.33998672,1,0.5
CI1794,patient,EP,5,3292.605727,2550.403084,83434.58541,64627.18028,63.62875317,1612.351761,25.33998672,1,0.5
CI1794,patient,EP,6,3172.720264,2962.063877,80396.68938,75058.65931,56.10922148,1421.806928,25.33998672,1,0.5
CI1794,patient,EP,7,1518.634361,2132.973568,38482.17455,54049.5219,56.04368606,1420.146261,25.33998672,1,0.5
CI1794,patient,EP,8,1987.797357,2095.528634,50370.75863,53100.66778,54.76125442,1387.64946,25.33998672,1,0.5
CI1794,patient,EP,9,1937.136564,2249.713656,49087.01481,57007.71419,50.96072662,1291.344136,25.33998672,1,0.5
CI1794,patient,EP,10,2071.497797,2320.198238,52491.72669,58793.79255,53.53966013,1356.694277,25.33998672,1,0.5
CI1794,patient,EP,11,2465.770925,2218.876652,62482.60251,56226.30491,53.17231678,1347.385801,25.33998672,1,0.5
CI1794,patient,EP,12,2494.405286,2315.792952,63208.19684,58682.16265,55.33981278,1402.310121,25.33998672,1,0.5
CI1794,patient,EP,1,2962.918502,285.6894273,75152.30635,7246.30777,49.41073686,1253.267962,25.364284,2,0.5
CI1794,patient,EP,2,2594.4163,567.7511013,65805.51183,14400.60017,55.14022956,1398.592442,25.364284,2,0.5
CI1794,patient,EP,3,2832.301762,765.9889868,71839.30626,19428.7622,46.60387718,1182.073976,25.364284,2,0.5
CI1794,patient,EP,4,2251.909692,833.5484581,57118.07696,21142.35982,53.41367081,1354.799516,25.364284,2,0.5
CI1794,patient,EP,5,2523.936123,887.5132159,64017.83263,22511.13726,47.79771103,1212.354717,25.364284,2,0.5
CI1794,patient,EP,6,2608.737885,1069.231278,66168.7686,27120.28578,46.81368748,1187.395664,25.364284,2,0.5
CI1794,patient,EP,7,2479.88326,1120.993392,62900.46329,28433.19476,45.714839,1159.524159,25.364284,2,0.5
CI1794,patient,EP,8,2544.834802,1210.614537,64547.91264,30706.37094,43.39149515,1100.594206,25.364284,2,0.5
CI1794,patient,EP,9,2681.398678,1255.768722,68011.75759,31851.67451,44.3961902,1126.077577,25.364284,2,0.5
CI1794,patient,EP,10,2791.530837,1274.491189,70805.18094,32326.55648,44.76713804,1135.486403,25.364284,2,0.5
CI1794,patient,EP,11,2534.922907,1276.693833,64296.50454,32382.42495,35.57278291,902.2781683,25.364284,2,0.5
CI1794,patient,EP,12,2562.455947,1308.632159,64994.86038,33192.51772,38.65873124,980.5510381,25.364284,2,0.5
CI1794,patient,EP,13,2342.19163,1342.773128,59408.01368,34058.47896,46.81368748,1187.395664,25.364284,2,0.5
CI1794,patient,EP,14,2456.729075,1415.460352,62313.17396,35902.13837,41.32368745,1048.145744,25.364284,2,0.5
CI1794,patient,EP,15,2843.64978,1389.751101,72127.14061,35250.04162,43.17924133,1095.21054,25.364284,2,0.5
CI1794,patient,EP,16,2971.403084,1383.143172,75367.51169,35082.43622,43.16505397,1094.850688,25.364284,2,0.5
