CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI2278,exponential,TL,1,238,634,12199.5906722636,32498.0692698114,0,0,51.258784337242,1,0
CI2278,exponential,TL,2,297,660,15223.8589481609,33830.7976625797,0,0,51.258784337242,1,0
CI2278,exponential,TL,3,378,1128,19375.8204794775,57819.908732409,0,0,51.258784337242,1,0
CI2278,exponential,TL,4,394,652,20195.9610288734,33420.7273878818,0,0,51.258784337242,1,0
CI2278,exponential,TL,5,405,938,20759.807656583,48080.739708333,0,0,51.258784337242,1,0
CI2278,exponential,TL,6,434,918,22246.312402363,47055.5640215882,0,0,51.258784337242,1,0
CI2278,exponential,TL,7,441,463,22605.1238927237,23732.8171481431,0,0,51.258784337242,1,0
CI2278,exponential,TL,8,512,296,26244.4975806679,15172.6001638236,0,0,51.258784337242,1,0
CI2278,exponential,TL,9,514,374,26347.0151493424,19170.7853421285,0,0,51.258784337242,1,0
CI2278,exponential,TL,10,522,409,26757.0854240403,20964.842793932,0,0,51.258784337242,1,0
CI2278,exponential,TL,11,547,1068,28038.5550324714,54744.3816721745,0,0,51.258784337242,1,0
CI2278,exponential,TL,12,555,341,28448.6253071693,17479.2454589995,0,0,51.258784337242,1,0
CI2278,exponential,TL,13,560,1444,28704.9192288555,74017.6845829775,0,0,51.258784337242,1,0
CI2278,exponential,TL,14,601,757,30806.5293866825,38802.8997432922,0,0,51.258784337242,1,0
CI2278,exponential,TL,15,660,517,33830.7976625797,26500.7915023541,0,0,51.258784337242,1,0
CI2278,exponential,TL,16,671,824,34394.6442902894,42237.2382938874,0,0,51.258784337242,1,0
CI2278,exponential,TL,17,687,651,35214.7848396853,33369.4686035445,0,0,51.258784337242,1,0
CI2278,exponential,TL,18,733,984,37572.6889191984,50438.6437878461,0,0,51.258784337242,1,0
CI2278,exponential,TL,19,734,710,37623.9477035356,36393.7368794418,0,0,51.258784337242,1,0
CI2278,exponential,TL,20,748,1109,38341.570684257,56845.9918300014,0,0,51.258784337242,1,0
CI2278,exponential,TL,21,799,761,40955.7686854564,39007.9348806412,0,0,51.258784337242,1,0
CI2278,exponential,TL,22,804,722,41212.0626071426,37008.8422914887,0,0,51.258784337242,1,0
CI2278,exponential,TL,23,817,613,41878.4268035267,31421.6347987294,0,0,51.258784337242,1,0
CI2278,exponential,TL,24,823,1152,42185.9795095502,59050.1195565028,0,0,51.258784337242,1,0
CI2278,exponential,TL,25,826,1045,42339.7558625619,53565.4296324179,0,0,51.258784337242,1,0
CI2278,exponential,TL,26,839,651,43006.120058946,33369.4686035445,0,0,51.258784337242,1,0
CI2278,exponential,TL,27,851,1124,43621.225470993,57614.87359506,0,0,51.258784337242,1,0
CI2278,exponential,TL,28,874,352,44800.1775107495,18043.0920867092,0,0,51.258784337242,1,0
CI2278,exponential,TL,29,908,1068,46542.9761782157,54744.3816721745,0,0,51.258784337242,1,0
CI2278,exponential,TL,30,909,718,46594.234962553,36803.8071541398,0,0,51.258784337242,1,0
CI2278,exponential,TL,31,1007,384,51617.5958276027,19683.3731855009,0,0,51.258784337242,1,0
CI2278,exponential,TL,32,1061,401,54385.5701818138,20554.772519234,0,0,51.258784337242,1,0
CI2278,exponential,TL,33,1092,180,55974.5924962683,9226.58118070356,0,0,51.258784337242,1,0
CI2278,exponential,TL,34,1140,1262,58435.0141444559,64688.5858335994,0,0,51.258784337242,1,0
CI2278,exponential,TL,35,1140,835,58435.0141444559,42801.0849215971,0,0,51.258784337242,1,0
CI2278,exponential,TL,36,1229,963,62997.0459504704,49362.2093167641,0,0,51.258784337242,1,0
CI2278,exponential,TL,37,1232,1396,63150.8223034822,71557.2629347898,0,0,51.258784337242,1,0
CI2278,exponential,TL,38,1238,1036,63458.3750095056,53104.1005733827,0,0,51.258784337242,1,0
CI2278,exponential,TL,39,1240,497,63560.8925781801,25475.6158156093,0,0,51.258784337242,1,0
