CI Identifier	Appearance_time	Growth-rate	Radius	Imaging_method
CI1140	9.599490266	66.37902393	1115.173369	TL
CI1140	9.651634025	64.87757156	1093.727727	TL
CI1140	9.671588304	66.31723576	1115.173369	TL
CI1140	10.53030508	63.13514535	1072.282085	TL
CI1140	9.54909545	64.72927997	1093.727727	TL
CI1140	10.17905913	63.98164319	1072.282085	TL
CI1140	10.07974035	64.79106813	1093.727727	TL
CI1140	9.855680928	65.24830054	1115.173369	TL
CI1140	9.895824562	65.32244633	1115.173369	TL
CI1140	10.72800746	64.01253727	1072.282085	TL
CI1140	10.19403695	65.42748621	1093.727727	TL
CI1140	10.46585385	65.44602266	1093.727727	TL
CI1140	10.53420553	61.565726	1029.390802	TL
CI1140	9.833412013	64.7045647	1115.173369	TL
CI1140	10.54645954	62.72734347	1050.836444	TL
CI1140	10.70952811	61.7943422	1029.390802	TL
CI1140	10.1109326	65.70553295	1115.173369	TL
CI1140	9.86172297	65.54488372	1093.727727	TL
CI1140	9.866586445	64.90846564	1093.727727	TL
CI1140	10.4946093	61.9055609	1050.836444	TL
CI1140	10.91525748	62.8879927	1029.390802	TL
CI1140	11.18054595	59.65029294	986.4995186	TL
CI1140	10.92314521	54.83081619	943.6082352	TL
CI1140	10.23707086	58.50721191	1029.390802	TL
CI1140	10.91540921	67.2008065	1072.282085	TL
CI1140	10.66025263	67.76307879	1093.727727	TL
CI1140	9.815872197	58.92119261	1029.390802	TL
CI1140	9.951684169	62.57905188	1093.727727	TL
CI1140	11.56528364	63.33286747	986.4995186	TL
CI1140	10.75578838	63.14750298	1072.282085	TL
CI1140	9.833146395	66.41609683	1115.173369	TL
CI1140	9.615483795	64.90846564	1115.173369	TL
CI1140	10.36505783	64.1731865	1050.836444	TL
CI1140	10.19493125	65.10618776	1093.727727	TL
CI1140	9.953535902	64.78488931	1115.173369	TL
CI1140	11.41125014	64.27204756	1115.173369	TL
CI1140	11.33215173	68.89998099	1136.619011	TL
CI1140	22.53078558	44.8891007	321.6846256	TL
CI1150	9.10518474	60.74044121	1098.721278	TL
CI1150	8.66789964	59.97811702	1121.144161	TL
CI1150	8.307466581	61.3283353	1165.989928	TL
CI1150	8.413114389	59.20287208	1121.144161	TL
CI1150	9.128553241	59.44836631	1076.298395	TL
CI1150	8.651385803	61.67719552	1121.144161	TL
CI1150	9.256012857	61.09576181	1098.721278	TL
CI1150	8.740432746	61.70949739	1121.144161	TL
CI1150	8.832323499	60.04918114	1098.721278	TL
CI1150	8.745922656	60.95363357	1121.144161	TL
CI1150	9.411635335	56.99342399	1031.452628	TL
CI1150	9.293004116	59.51943043	1076.298395	TL
CI1150	8.940632012	61.47046353	1121.144161	TL
CI1150	8.704618384	62.40721784	1143.567044	TL
CI1150	9.301987152	59.53881155	1098.721278	TL
CI1150	8.842295814	63.03387417	1165.989928	TL
CI1150	9.104706207	59.73262279	1121.144161	TL
CI1150	9.118741043	60.82442608	1098.721278	TL
CI1150	8.728098617	59.67447942	1121.144161	TL
CI1150	8.898796961	60.96655432	1121.144161	TL
CI1150	8.717517987	67.13621199	1188.412811	TL
CI1150	9.475469088	59.75200391	1076.298395	TL
CI1150	8.844717642	61.54152765	1121.144161	TL
CI1150	9.014160269	64.53268106	1233.258577	TL
CI1150	8.733167789	61.909769	1165.989928	TL
CI1150	9.88792052	92.64177058	1367.795877	TL
CI1280	8.986644714	45.14505369	823.2449589	TL
CI1280	9.398523148	42.30932235	768.3619616	TL
CI1280	8.820675361	46.86863017	841.5392913	TL
CI1280	9.329993999	42.17755045	750.0676292	TL
CI1280	9.443993659	45.46130625	804.9506265	TL
CI1280	10.19285777	40.87564406	750.0676292	TL
CI1280	10.00455896	43.09995377	786.6562941	TL
CI1280	9.661924303	44.33333877	786.6562941	TL
CI1280	8.827028926	43.24226742	804.9506265	TL
CI1280	8.974955374	41.89292314	750.0676292	TL
CI1280	11.10608227	41.98252804	750.0676292	TL
CI1280	9.329993999	42.17755045	768.3619616	TL
CI1280	9.784231267	46.73685827	804.9506265	TL
CI1280	9.437303782	44.00127358	804.9506265	TL
CI1280	9.111449089	42.46744864	786.6562941	TL
CI1280	9.582655937	41.27623064	768.3619616	TL
CI1280	10.7024438	47.33246727	804.9506265	TL
CI1280	12.92784725	40.94943632	676.8902995	TL
CI1280	10.47579538	40.1166379	750.0676292	TL
CI1280	10.87326282	38.47212456	713.4789644	TL
CI1280	9.511741196	41.27623064	786.6562941	TL
CI1280	9.889067767	45.86189284	768.3619616	TL
CI1280	10.89226503	41.28677239	713.4789644	TL
CI1280	11.97295334	36.45337902	658.5959671	TL
CI1280	9.268301531	42.48853214	731.7732968	TL
CI1280	11.30390218	41.52923269	731.7732968	TL
CI1280	NA	NA	NA	TL
CI1280	9.478913944	47.6329072	859.8336238	TL
CI1280	9.198886726	49.34067105	878.1279562	TL
CI1280	9.2176544	49.42500507	878.1279562	TL
CI1280	9.042749392	53.68914383	933.0109534	TL
CI1280	9.097582895	51.36468747	914.716621	TL
CI1280	9.256374543	45.9146016	823.2449589	TL
CI1280	9.391308877	45.98312299	841.5392913	TL
CI1280	9.433544659	49.35121281	896.4222886	TL
CI1280	NA	NA	NA	TL
CI1280	9.710204054	50.67947358	914.716621	TL
CI1280	9.365128565	47.70669947	859.8336238	TL
CI1280	9.339454601	49.75179939	896.4222886	TL
CI1280	9.490498258	49.49352646	896.4222886	TL
CI1280	9.58454718	48.61329015	859.8336238	TL
CI1280	9.539396271	47.62236545	859.8336238	TL
CI1280	9.706749447	47.88063838	859.8336238	TL
CI1280	9.34874485	49.5725896	896.4222886	TL
CI1280	9.340088401	51.19601944	933.0109534	TL
CI1280	9.395916472	48.04403554	878.1279562	TL
CI1280	9.289546537	48.71870768	896.4222886	TL
CI1280	10.24903641	44.97111478	841.5392913	TL
CI1280	9.741101079	47.41680128	859.8336238	TL
CI1280	9.799129498	46.7526709	841.5392913	TL
CI1280	9.585341423	48.63437366	859.8336238	TL
CI1280	9.616895093	46.42587658	841.5392913	TL
CI1280	9.529403637	48.18107832	896.4222886	TL
CI1280	9.387249961	47.88063838	896.4222886	TL
CI1280	9.687910651	46.09381138	823.2449589	TL
CI1280	9.434300364	47.48532267	841.5392913	TL
CI1280	9.24402784	49.47244296	896.4222886	TL
CI1280	9.751453178	48.46570562	878.1279562	TL
CI1280	9.497281982	48.58693577	878.1279562	TL
CI1280	9.732926618	46.067457	841.5392913	TL
CI1280	10.80034351	43.14739165	786.6562941	TL
CI1280	9.400176946	48.01768116	878.1279562	TL
CI1280	10.08925824	43.61649962	804.9506265	TL
CI1280	11.50931316	43.54797823	731.7732968	TL
CI1280	8.915682171	47.58546932	859.8336238	TL
CI1280	9.094625882	46.18341628	841.5392913	TL
CI1280	9.424863672	49.79923727	859.8336238	TL
CI1280	9.543634823	48.17053656	878.1279562	TL
CI1280	9.993302938	46.47858534	841.5392913	TL
CI1280	9.713468674	47.20069536	841.5392913	TL
CI1280	9.467571767	47.82265874	878.1279562	TL
CI1280	9.919349352	47.37463427	859.8336238	TL
CI1280	9.442430096	48.98752236	896.4222886	TL
CI1280	9.964867981	46.16760365	841.5392913	TL
CI1280	10.34137379	46.72631652	841.5392913	TL
CI1280	10.55997021	47.42734303	841.5392913	TL
CI1280	10.47085982	43.8431473	786.6562941	TL
CI1280	9.833545354	44.2173795	804.9506265	TL
CI1280	9.313278434	50.69528621	914.716621	TL
CI1280	9.876826203	43.01561975	823.2449589	TL
CI1280	10.38650551	49.75707027	878.1279562	TL
CI1280	9.891745312	47.15852835	859.8336238	TL
CI1280	9.081862256	45.28209647	841.5392913	TL
CI1280	10.32147362	45.13451194	841.5392913	TL
CI1280	10.59105891	46.58400286	804.9506265	TL
CI1280	9.512425227	47.91226364	841.5392913	TL
CI1280	9.532427071	51.11168542	933.0109534	TL
CI1280	9.314517933	52.26073641	969.5996183	TL
CI1280	9.329858684	50.90085038	933.0109534	TL
CI1280	9.604126906	48.67654067	896.4222886	TL
CI1280	9.797338505	48.89264659	914.716621	TL
CI1280	9.620163292	49.23525353	933.0109534	TL
CI1280	9.308824473	50.47918029	933.0109534	TL
CI1280	10.06549168	48.24432883	896.4222886	TL
CI1280	9.259392285	50.66366095	933.0109534	TL
CI1280	9.407754571	47.24813325	878.1279562	TL
CI1280	9.808177678	48.41299686	878.1279562	TL
CI1280	9.302159752	48.67654067	896.4222886	TL
CI1280	10.10090777	46.52075235	859.8336238	TL
CI1280	10.17923106	49.40919244	896.4222886	TL
CI1280	9.484966115	50.50553467	933.0109534	TL
CI1280	9.359863635	50.81651636	914.716621	TL
CI1280	9.920615102	48.31812109	896.4222886	TL
CI1280	9.77779564	49.43554682	896.4222886	TL
CI1280	9.494960806	47.47478092	914.716621	TL
CI1280	9.431515375	53.69968558	969.5996183	TL
CI1280	9.991143324	50.32105401	933.0109534	TL
CI1280	10.32304468	47.5011353	878.1279562	TL
CI1280	10.36577431	47.37990515	859.8336238	TL
CI1280	9.262356341	53.83145748	1006.188283	TL
CI1280	10.06231546	49.16673214	914.716621	TL
CI1280	9.850634322	51.06424754	951.3052859	TL
CI1280	9.475491139	50.47918029	933.0109534	TL
CI1280	9.62493929	51.77581581	951.3052859	TL
CI1280	9.642157806	50.47918029	933.0109534	TL
CI1280	10.14312325	49.37756719	914.716621	TL
CI1280	NA	NA	NA	TL
CI1280	10.27498537	43.72718802	786.6562941	TL
CI1280	10.54730661	45.50874414	786.6562941	TL
CI1280	11.39880235	44.54417382	804.9506265	TL
CI1280	9.018195123	45.5614529	896.4222886	TL
CI1280	9.679611326	47.21123712	859.8336238	TL
CI1280	9.713910086	47.8753675	878.1279562	TL
CI1280	9.348226699	46.28356292	823.2449589	TL
CI1280	9.911861066	47.95443064	841.5392913	TL
CI1280	10.90351819	47.95970152	823.2449589	TL
CI1280	9.525659597	49.97317619	914.716621	TL
CI1280	9.589131657	48.50787263	896.4222886	TL
CI1280	9.342815465	49.07185637	914.716621	TL
CI1280	9.637816668	48.60801928	896.4222886	TL
CI1280	10.25127134	47.10581959	841.5392913	TL
CI1280	9.809414905	46.43641833	841.5392913	TL
CI1280	11.32254916	44.25954651	768.3619616	TL
CI1280	9.598151661	37.41794934	731.7732968	TL
CI1280	9.316880206	41.02322859	750.0676292	TL
CI1280	9.620972622	42.55178265	768.3619616	TL
CI1280	10.26217431	47.81738787	878.1279562	TL
CI1280	9.762873784	47.23232062	933.0109534	TL
CI1280	10.25851072	41.4607113	768.3619616	TL
CI1280	9.619263123	40.59101675	750.0676292	TL
CI1280	9.005006513	38.01882922	731.7732968	TL
CI1280	11.02754087	43.24226742	768.3619616	TL
CI1280	9.459162662	47.84901312	896.4222886	TL
CI1280	11.00050809	44.38604753	804.9506265	TL
CI1280	10.26625393	46.24666679	823.2449589	TL
CI1280	10.1665141	47.95443064	859.8336238	TL
CI1280	10.88278544	44.13831636	750.0676292	TL
CI1280	11.09037175	42.8943896	750.0676292	TL
CI1280	12.67286589	39.6317173	640.3016347	TL
CI1280	10.74444991	43.65866663	768.3619616	TL
CI1280	11.06407624	41.75588036	713.4789644	TL
CI1280	10.59767381	43.77989678	768.3619616	TL
CI1280	10.6853019	36.00008368	658.5959671	TL
CI1280	11.20082882	42.47271951	713.4789644	TL
CI1280	13.70909005	37.92922433	622.0073023	TL
CI1280	14.53265272	35.53097571	567.124305	TL
CI1280	10.32323434	41.95617366	768.3619616	TL
CI1280	9.90559086	44.91840602	750.0676292	TL
CI1280	11.94838468	37.15967642	658.5959671	TL
CI1280	10.5287808	45.25574209	823.2449589	TL
CI1280	10.22165718	46.11489489	804.9506265	TL
CI1280	11.394172	48.88737571	823.2449589	TL
CI1280	10.13905595	37.71311841	841.5392913	TL
CI1280	11.16333397	44.1066911	713.4789644	TL
CI1280	NA	NA	NA	TL
CI1280	10.98576648	36.31106537	768.3619616	TL
CI1280	10.33690122	44.238463	786.6562941	TL
CI1314	9.38292704	61.04176497	1070.726622	TL
CI1314	8.998318728	59.27853143	1048.875059	TL
CI1314	9.078139409	62.36575885	1092.578186	TL
CI1314	10.40233675	67.22876953	1048.875059	TL
CI1314	9.326433126	56.47367237	1027.023495	TL
CI1314	8.867758495	61.34923275	1070.726622	TL
CI1314	9.083903801	62.33438459	1092.578186	TL
CI1314	8.97306607	62.54772957	1092.578186	TL
CI1314	9.196830032	60.97901645	1048.875059	TL
CI1314	9.136203721	64.24193974	1092.578186	TL
CI1314	9.127846044	60.23858386	1027.023495	TL
CI1314	8.879104023	61.45590524	1070.726622	TL
CI1314	9.648924651	59.13420982	983.3203676	TL
CI1314	9.258341012	67.93782786	1158.132877	TL
CI1314	8.816537719	61.94534373	1070.726622	TL
CI1314	8.900777078	61.55630288	1070.726622	TL
CI1314	8.562562793	65.23964129	1136.281314	TL
CI1314	8.939321297	61.21118599	1070.726622	TL
CI1314	9.215473436	59.57344949	1027.023495	TL
CI1314	8.661328066	63.23796334	1114.42975	TL
CI1314	8.85595595	61.18608658	1070.726622	TL
CI1314	8.839286503	63.507782	1114.42975	TL
CI1314	8.395913294	64.76902735	1179.984441	TL
CI1314	9.074576312	59.62992317	1048.875059	TL
CI1314	8.679962725	66.80835441	1201.836005	TL
CI1314	8.748081892	64.34861223	1114.42975	TL
CI1314	8.975203816	63.55170597	1070.726622	TL
CI1314	8.710752175	65.54083421	1114.42975	TL
CI1314	8.63465769	63.43875862	1092.578186	TL
CI1314	8.480832613	64.6309806	1136.281314	TL
CI1314	8.269338177	63.22541364	1092.578186	TL
CI1314	8.917130288	66.10557093	1114.42975	TL
CI1314	8.633015304	66.06792182	1114.42975	TL
CI1314	8.595525291	65.81065286	1114.42975	TL
CI1314	8.779275627	64.59960633	1092.578186	TL
CI1314	9.551092354	61.21118599	1027.023495	TL
CI1314	9.078921128	59.97504005	1048.875059	TL
CI1314	8.509808043	67.61781038	1179.984441	TL
CI1314	8.256481675	53.73156183	1092.578186	TL
CI1314	9.164743146	58.92086483	1005.171931	TL
CI1314	8.663184312	63.16893997	1070.726622	TL
CI1314	8.83989932	59.7052214	1070.726622	TL
CI1314	8.543529953	65.54083421	1136.281314	TL
CI1314	8.562066083	60.44565399	1070.726622	TL
CI1314	9.366466145	60.31388209	1005.171931	TL
CI1314	8.950349155	62.71715059	1048.875059	TL
CI1314	8.88386047	59.53580038	1027.023495	TL
CI1314	8.71747151	60.67154868	1027.023495	TL
CI1314	8.807056867	63.92819712	1092.578186	TL
CI1314	9.160589419	60.28878268	1048.875059	TL
CI1314	8.581848005	61.33668304	1070.726622	TL
CI1314	8.800237526	66.06792182	1114.42975	TL
CI1314	8.684447464	63.08109203	1070.726622	TL
CI1314	8.850731764	62.78617397	1114.42975	TL
CI1314	8.685813091	63.95329653	1114.42975	TL
CI1314	8.873487935	62.42850737	1048.875059	TL
CI1314	9.09732191	61.56885258	1048.875059	TL
CI1314	8.790938311	63.79642522	1092.578186	TL
CI1314	8.778188967	61.4872795	1070.726622	TL
CI1314	8.991644908	58.37495267	1005.171931	TL
CI1314	8.898907837	60.09426225	1070.726622	TL
CI1314	8.850948	62.69205118	1092.578186	TL
CI1314	8.903935199	59.9687652	1070.726622	TL
CI1314	8.65426039	63.64582876	1114.42975	TL
CI1314	9.015191627	61.13588776	1048.875059	TL
CI1314	8.800089376	63.60190479	1092.578186	TL
CI1314	8.67082842	62.32810973	1092.578186	TL
CI1314	9.209676735	59.49815126	1070.726622	TL
CI1314	9.943561964	54.64141544	917.7656764	TL
CI1314	9.075168705	55.99050872	1005.171931	TL
CI1314	9.263684902	53.64998875	961.4688039	TL
CI1314	8.737673529	65.35258863	1114.42975	TL
CI1314	10.19708502	57.6847189	1027.023495	TL
CI1314	NA	NA	NA	TL
CI1314	8.734319596	60.99156615	1070.726622	TL
CI1368	8.822585855	62.52768297	1035.956752	TL
CI1368	8.945875728	62.53331457	1035.956752	TL
CI1368	8.481613381	65.79964404	1094.595813	TL
CI1368	9.030603987	62.16726041	1035.956752	TL
CI1368	8.973318296	63.38931816	1055.503106	TL
CI1368	9.026645905	60.3764108	996.8640441	TL
CI1368	8.739841393	63.05705361	1055.503106	TL
CI1368	9.034670502	60.80441259	1035.956752	TL
CI1368	9.25297416	62.96694797	1055.503106	TL
CI1368	9.216834467	61.66604778	1055.503106	TL
CI1368	9.406626682	66.09248738	1075.049459	TL
CI1368	9.119885776	62.57836739	1075.049459	TL
CI1368	8.801054209	62.16726041	1016.410398	TL
CI1368	9.25434065	61.63225817	996.8640441	TL
CI1368	9.605353351	63.78916194	1075.049459	TL
CI1368	9.326975476	62.44320893	1055.503106	TL
CI1368	8.702208979	65.36037905	1094.595813	TL
CI1368	8.689643487	67.28075551	1133.688521	TL
CI1368	8.756262696	68.34512839	1192.327582	TL
CI1368	8.973078881	67.04422821	1133.688521	TL
CI1368	8.355555904	65.97422372	1153.234875	TL
CI1368	9.255316231	60.56225369	1035.956752	TL
CI1368	8.576668991	66.40222552	1153.234875	TL
CI1368	9.474633592	64.23405854	1075.049459	TL
CI1368	8.849576872	64.71837636	1094.595813	TL
CI1368	9.063532205	65.15200975	1094.595813	TL
CI1368	8.89197034	68.84634102	1192.327582	TL
CI1368	8.879159779	68.20433833	1172.781228	TL
CI1368	8.971277111	67.83828416	1153.234875	TL
CI1368	8.679600481	66.47543635	1172.781228	TL
CI1368	8.636490204	68.27191756	1192.327582	TL
CI1368	8.864690811	67.34833474	1172.781228	TL
CI1368	8.806412214	67.04422821	1133.688521	TL
CI1368	8.812601832	67.04985981	1172.781228	TL
CI1368	8.974421892	68.06917987	1172.781228	TL
CI1368	9.010267297	69.75302903	1192.327582	TL
CI1368	8.769318175	68.82381461	1211.873936	TL
CI1368	8.841327947	69.62350217	1211.873936	TL
CI1368	8.602651294	69.82060826	1231.42029	TL
CI1368	9.667829279	67.0273334	1153.234875	TL
CI1368	8.742295976	67.67496769	1250.966644	TL
CI1368	8.864335635	67.87770538	1192.327582	TL
CI1368	9.114386739	67.9171266	1192.327582	TL
CI1368	9.754699675	70.30492607	1172.781228	TL
CI1368	8.414378391	67.66933609	1250.966644	TL
CI1368	8.575153285	65.05627251	1192.327582	TL
CI1368	8.563718655	69.33629044	1250.966644	TL
CI1368	8.440530945	68.98713108	1250.966644	TL
CI1368	9.089843216	66.90343814	1192.327582	TL
CI1368	9.11607372	61.22115118	1133.688521	TL
CI1368	8.825440869	64.45369104	1153.234875	TL
CI1368	8.214740524	69.0378155	1250.966644	TL
CI1368	8.643769817	66.28396186	1231.42029	TL
CI1368	9.08107569	80.43617904	1309.605705	TL
CI1368	8.84407114	69.66855499	1250.966644	TL
CI1368	9.745213146	63.0345272	1094.595813	TL
CI1368	9.373570261	63.00636919	1114.142167	TL
CI1368	8.806135381	66.94849096	1114.142167	TL
CI1368	9.164212468	65.77148603	1114.142167	TL
CI1368	8.632903733	66.8020693	1133.688521	TL
CI1368	9.059921288	66.00801334	1133.688521	TL
CI1368	8.793404979	63.72721431	1055.503106	TL
CI1368	9.11061668	63.23163329	1035.956752	TL
CI1368	8.744442846	63.9243204	1094.595813	TL
CI1368	9.078184846	65.07879892	1094.595813	TL
CI1368	8.812938008	65.94606571	1094.595813	TL
CI1368	8.948211186	67.20191308	1133.688521	TL
CI1368	9.317021566	65.65322238	1133.688521	TL
CI1368	8.711762201	65.77148603	1192.327582	TL
CI1368	9.152846475	62.95568476	1172.781228	TL
CI1368	9.707559775	59.42466997	996.8640441	TL
CI1368	9.574224278	59.86393497	1016.410398	TL
CI1368	8.929991009	62.16726041	1016.410398	TL
CI1368	8.394193412	53.5002241	1075.049459	TL
CI1368	10.13203103	68.01849544	996.8640441	TL
CI1368	8.916079551	63.90742559	1055.503106	TL
CI1368	8.935091309	64.18900572	1055.503106	TL
CI1368	8.639913458	65.67574879	1114.142167	TL
CI1368	9.060776643	64.66206033	1075.049459	TL
CI1368	9.002530841	60.08919907	977.3176903	TL
CI1368	10.86640554	45.92008709	801.4005061	TL
CI1368	9.574686946	63.33863374	1035.956752	TL
CI1368	8.830911088	62.76421028	1055.503106	TL
CI1368	NA	NA	NA	TL
CI1368	9.128501357	60.52283247	1016.410398	TL
CI1368	8.676691869	63.4794238	1075.049459	TL
CI1368	9.14340861	67.63554647	1192.327582	TL
CI1368	9.86276203	63.31047572	1094.595813	TL
CI1368	8.870119457	61.00715029	1153.234875	TL
CI1368	10.2941412	61.9307331	1075.049459	TL
CI1368	10.80426377	59.9258826	977.3176903	TL
CI1368	9.651744758	59.18814267	996.8640441	TL
CI1368	8.541388172	63.95247841	1094.595813	TL
CI1368	11.92632261	64.20590053	957.7713365	TL
CI1368	9.266141201	65.33222103	1094.595813	TL
CI1368	9.946622465	70.82866511	1172.781228	TL
CI1368	9.290685894	62.89936874	1114.142167	TL
CI1368	8.875128334	66.00238174	1192.327582	TL
CI1368	10.5754236	70.95819197	1055.503106	TL
CI1368	NA	NA	NA	TL
CI1373	10.57693814	45.08521326	772.7855358	TL
CI1373	10.34832235	45.83663348	796.2032793	TL
CI1373	9.85325859	45.97879406	819.6210228	TL
CI1373	10.63418297	45.03105685	772.7855358	TL
